Date,Open,High,Low,Close,Adj Close,Volume,close-open,increase yes or no,50day moving average,50 moving day average,100 day moving average,100 day moving average beat,AMD News,Quarterly earnings
2020-02-13,53.43,55.029999,53.34,54.529999,54.529999,51640000,1.099999,yes,46.87979972,No,40.26829985,No,No,No
2020-02-14,55.189999,55.400002,54.560001,55.310001,55.310001,52365400,0.120002,yes,47.2079997,No,40.51499987,No,No,No
2020-02-18,54.939999,58.130001,54.84,56.889999,56.889999,70133200,1.95,yes,47.5519997,No,40.78869986,No,Yes,No
2020-02-19,57.990002,59.27,57.509998,58.900002,58.900002,58597300,0.91,yes,47.93759976,No,41.08229987,No,No,No
2020-02-20,58.439999,59.02,56.150002,57.27,57.27,74203400,-1.169999,no,48.29039974,No,41.36029988,No,No,No
2020-02-21,56.709999,56.799999,52.889999,53.279999,53.279999,88271100,-3.43,no,48.57739972,No,41.60589988,No,No,No
2020-02-24,48.18,50.279999,47.490002,49.119999,49.119999,86624100,0.939999,yes,48.77099972,No,41.80719987,No,No,No
2020-02-25,51.139999,51.240002,47.119999,47.57,47.57,88699400,-3.569999,no,48.9329997,Yes,41.99529987,No,Yes,No
2020-02-26,47.700001,49.290001,47.07,47.490002,47.490002,86378400,-0.209999,no,49.03099974,Yes,42.1870999,No,No,No
2020-02-27,45.380001,46.240002,42.209999,44.009998,44.009998,106416200,-1.370003,no,49.08819966,Yes,42.34039988,No,No,No
2020-02-28,41.360001,46.150002,41.040001,45.48,45.48,100667700,4.119999,yes,49.1507997,Yes,42.50509988,No,No,No
2020-03-02,47.419998,47.68,44.66,47.459999,47.459999,102324700,0.040001,yes,49.24459968,Yes,42.69039987,No,No,No
2020-03-03,49.029999,50.200001,45.669998,46.75,46.75,141972300,-2.279999,no,49.3335997,Yes,42.87559987,No,No,No
2020-03-04,48.25,50.139999,47.209999,50.110001,50.110001,93311800,1.860001,yes,49.47919968,No,43.09209989,No,Yes,No
2020-03-05,48.68,49.720001,47.509998,48.110001,48.110001,98302700,-0.569999,no,49.55839966,Yes,43.28939991,No,Yes,No
2020-03-06,49.439999,49.540001,46.740002,48.59,48.59,124590900,-0.849999,no,49.62099968,Yes,43.47779991,No,No,No
2020-03-09,43.029999,46.34,42.509998,43.27,43.27,80859800,0.240001,yes,49.55559966,Yes,43.6051999,No,No,No
2020-03-10,45.41,45.439999,43.099998,45.380001,45.380001,76228200,-0.029999,no,49.53059966,Yes,43.75179992,No,No,No
2020-03-11,44.189999,45.970001,43.799999,45.700001,45.700001,101601100,1.510002,yes,49.52099968,Yes,43.90069994,No,No,No
2020-03-12,42,42.5,39,39.009998,39.009998,107461500,-2.990002,no,49.39079964,Yes,43.97939993,No,No,No
2020-03-13,42.200001,43.91,39.599998,43.900002,43.900002,86689700,1.700001,yes,49.35159966,Yes,44.10869996,No,No,No
2020-03-16,39.080002,43.369999,38.509998,38.709999,38.709999,84545900,-0.370003,no,49.14379968,Yes,44.17549996,No,No,No
2020-03-17,40.189999,42.880001,38.299999,41.880001,41.880001,92741900,1.690002,yes,49.00939974,Yes,44.27919997,No,No,No
2020-03-18,39.540001,41.950001,36.75,39.119999,39.119999,106949300,-0.420002,no,48.82399974,Yes,44.35679995,No,No,No
2020-03-19,39.560001,41.700001,37.689999,39.82,39.82,88939000,0.259999,yes,48.65539974,Yes,44.43779996,No,No,No
2020-03-20,41.509998,42.48,39.580002,39.610001,39.610001,106859500,-1.899997,no,48.49099972,Yes,44.50679998,No,No,No
2020-03-23,40.619999,42.32,38.950001,41.639999,41.639999,101704700,1.02,yes,48.34439968,Yes,44.58629998,No,No,No
2020-03-24,44.040001,46.810001,43.990002,46.220001,46.220001,106794200,2.18,yes,48.30539974,Yes,44.7182,No,No,No
2020-03-25,46.790001,47.880001,44.43,44.630001,44.630001,93760400,-2.16,no,48.22299976,Yes,44.8332,No,Yes,No
2020-03-26,45.779999,47.5,45.400002,47.5,47.5,73680200,1.720001,yes,48.20879978,Yes,44.9689,No,No,No
2020-03-27,46.32,47.98,45.900002,46.580002,46.580002,74599200,0.260002,yes,48.16939984,Yes,45.08580003,No,No,No
2020-03-30,47.240002,48.459999,46.66,47.860001,47.860001,68486600,0.619999,yes,48.13119986,Yes,45.20150003,No,No,No
2020-03-31,47.93,48.529999,45.16,45.48,45.48,83483700,-2.45,no,48.02219986,Yes,45.29480001,No,No,No
2020-04-01,44.18,46.849998,43.16,43.66,43.66,92083100,-0.52,no,47.87439988,Yes,45.37210001,No,Yes,No
2020-04-02,43.400002,45.279999,43.099998,44.490002,44.490002,79024100,1.09,yes,47.73559992,Yes,45.45420004,No,No,No
2020-04-03,44.299999,44.84,41.700001,42.59,42.59,79335000,-1.709999,no,47.55319994,Yes,45.51720003,No,No,No
2020-04-06,44.299999,47.580002,44.060001,47.52,47.52,82294000,3.220001,yes,47.49659998,No,45.62930002,No,No,No
2020-04-07,48.959999,49.650002,46.68,47.560001,47.560001,102098700,-1.399998,no,47.46260004,No,45.73780004,No,No,No
2020-04-08,48.07,49,47.610001,48.790001,48.790001,64930800,0.720001,yes,47.42780008,No,45.85050005,No,No,No
2020-04-09,49.650002,50.25,47.720001,48.380001,48.380001,80357400,-1.270001,no,47.44520014,No,45.95080008,No,No,No
2020-04-13,48.470001,51.07,48.23,50.939999,50.939999,64290100,2.469998,yes,47.48840014,No,46.07460006,No,No,No
2020-04-14,52.240002,55.139999,52.110001,54.93,54.93,85306800,2.689998,yes,47.64700014,No,46.22510005,No,Yes,No
2020-04-15,53.73,55.57,53.41,54.990002,54.990002,83814000,1.260002,yes,47.78640018,No,46.36210006,No,Yes,No
2020-04-16,55.959999,58.080002,55.630001,56.950001,56.950001,103106500,0.990002,yes,47.93640018,No,46.52180007,No,No,No
2020-04-17,57.349998,57.759998,55.549999,56.599998,56.599998,76908800,-0.75,no,48.07160014,No,46.69260005,No,Yes,No
2020-04-20,55.98,58.630001,55.849998,56.970001,56.970001,72367300,0.990001,yes,48.22460016,No,46.87080004,No,No,No
2020-04-21,56.900002,57.73,51.41,52.919998,52.919998,123906400,-3.980004,no,48.28840012,No,47.00210001,No,Yes,No
2020-04-22,54.91,56.150002,54.34,55.919998,55.919998,63164100,1.009998,yes,48.36160012,No,47.17139997,No,No,No
2020-04-23,56.650002,57.290001,55.639999,55.900002,55.900002,69662700,-0.75,no,48.40360018,No,47.33629999,No,No,No
2020-04-24,55.099998,56.779999,54.419998,56.18,56.18,72854800,1.080002,yes,48.4494002,No,47.50659997,No,No,No
2020-04-27,57.439999,58,56.25,56.490002,56.490002,62568100,-0.949997,no,48.48860026,No,47.68419999,No,No,No
2020-04-28,57.16,57.349998,55.299999,55.509998,55.509998,80501800,-1.650002,no,48.4926002,No,47.85029995,No,Yes,Yes
2020-04-29,54.529999,54.860001,52.740002,53.66,53.66,110800900,-0.869999,no,48.42800022,No,47.98999996,No,Yes,No
2020-04-30,53.43,54.290001,52.029999,52.389999,52.389999,65543900,-1.040001,no,48.29780016,No,48.11769996,No,Yes,No
2020-05-01,51.07,51.950001,49.09,49.880001,49.880001,69562700,-1.189999,no,48.15000018,No,48.22019996,No,No,No
